kanji,kana,ru,pos
私,わたし,я,мест
貴方,あなた,ты; вы,мест
人,ひと,человек,сущ
男,おとこ,мужчина,сущ
女,おんな,женщина,сущ
子供,こども,ребёнок; дети,сущ
友達,ともだち,друг,сущ
家族,かぞく,семья,сущ
父,ちち,отец; папа,сущ
母,はは,мать; мама,сущ
兄,あに,старший брат,сущ
姉,あね,старшая сестра,сущ
弟,おとうと,младший брат,сущ
妹,いもうと,младшая сестра,сущ
先生,せんせい,учитель; преподаватель,сущ
学生,がくせい,студент; учащийся,сущ
医者,いしゃ,врач; доктор,сущ
会社員,かいしゃいん,служащий компании; офисный работник,сущ
名前,なまえ,имя,сущ
猫,ねこ,кошка; кот,сущ
犬,いぬ,собака,сущ
鳥,とり,птица,сущ
魚,さかな,рыба,сущ
家,いえ,дом,сущ
部屋,へや,комната,сущ
学校,がっこう,школа,сущ
大学,だいがく,университет,сущ
会社,かいしゃ,компания; фирма,сущ
店,みせ,магазин; лавка,сущ
銀行,ぎんこう,банк,сущ
病院,びょういん,больница,сущ
駅,えき,станция; вокзал,сущ
空港,くうこう,аэропорт,сущ
図書館,としょかん,библиотека,сущ
映画館,えいがかん,кинотеатр,сущ
公園,こうえん,парк,сущ
国,くに,страна,сущ
町,まち,город,сущ
道,みち,дорога; улица,сущ
山,やま,гора,сущ
川,かわ,река,сущ
海,うみ,море,сущ
空,そら,небо,сущ
雨,あめ,дождь,сущ
雪,ゆき,снег,сущ
風,かぜ,ветер,сущ
天気,てんき,погода,сущ
水,みず,вода,сущ
お茶,おちゃ,чай,сущ
牛乳,ぎゅうにゅう,молоко,сущ
珈琲,コーヒー,кофе,сущ
御飯,ごはん,рис; еда,сущ
パン,パン,хлеб,сущ
肉,にく,мясо,сущ
野菜,やさい,овощи,сущ
果物,くだもの,фрукты,сущ
卵,たまご,яйцо,сущ
料理,りょうり,блюдо; готовка; кухня,сущ
朝御飯,あさごはん,завтрак,сущ
昼御飯,ひるごはん,обед,сущ
晩御飯,ばんごはん,ужин,сущ
時間,じかん,время,сущ
今日,きょう,сегодня,сущ
明日,あした,завтра,сущ
昨日,きのう,вчера,сущ
今,いま,сейчас,сущ
朝,あさ,утро,сущ
昼,ひる,день; полдень,сущ
夜,よる,ночь; вечер,сущ
午前,ごぜん,первая половина дня; до полудня,сущ
午後,ごご,после полудня; вторая половина дня,сущ
週,しゅう,неделя,сущ
先週,せんしゅう,прошлая неделя,сущ
来週,らいしゅう,следующая неделя,сущ
今週,こんしゅう,эта неделя,сущ
月,つき,луна; месяц,сущ
年,とし,год; возраст,сущ
毎日,まいにち,каждый день,сущ
毎朝,まいあさ,каждое утро,сущ
毎晩,まいばん,каждый вечер,сущ
誕生日,たんじょうび,день рождения,сущ
本,ほん,книга,сущ
新聞,しんぶん,газета,сущ
辞書,じしょ,словарь,сущ
手紙,てがみ,письмо,сущ
写真,しゃしん,фотография,сущ
映画,えいが,фильм; кино,сущ
音楽,おんがく,музыка,сущ
歌,うた,песня,сущ
絵,え,картина; рисунок,сущ
言葉,ことば,слово; язык; речь,сущ
日本語,にほんご,японский язык,сущ
英語,えいご,английский язык,сущ
宿題,しゅくだい,домашнее задание,сущ
質問,しつもん,вопрос,сущ
問題,もんだい,проблема; задача,сущ
試験,しけん,экзамен,сущ
仕事,しごと,работа,сущ
電話,でんわ,телефон,сущ
テレビ,テレビ,телевизор,сущ
パソコン,パソコン,компьютер,сущ
机,つくえ,стол; парта,сущ
椅子,いす,стул,сущ
鞄,かばん,сумка; портфель,сущ
傘,かさ,зонт,сущ
眼鏡,めがね,очки,сущ
時計,とけい,часы,сущ
鍵,かぎ,ключ,сущ
お金,おかね,деньги,сущ
財布,さいふ,кошелёк,сущ
服,ふく,одежда,сущ
靴,くつ,обувь; ботинки,сущ
帽子,ぼうし,шапка; шляпа,сущ
車,くるま,машина; автомобиль,сущ
自転車,じてんしゃ,велосипед,сущ
電車,でんしゃ,электричка; поезд,сущ
飛行機,ひこうき,самолёт,сущ
体,からだ,тело,сущ
頭,あたま,голова,сущ
顔,かお,лицо,сущ
目,め,глаз; глаза,сущ
耳,みみ,ухо; уши,сущ
