kanji,kana,ru,pos,level
私,わたし,я,мест,1
貴方,あなた,ты; вы,мест,1
あの人,あのひと,тот человек; он; она,мест,1
皆さん,みなさん,все; господа,сущ,1
先生,せんせい,учитель; преподаватель,сущ,1
教師,きょうし,преподаватель (о себе),сущ,1
学生,がくせい,студент,сущ,1
会社員,かいしゃいん,служащий компании,сущ,1
銀行員,ぎんこういん,банковский служащий,сущ,1
医者,いしゃ,врач,сущ,1
研究者,けんきゅうしゃ,научный сотрудник; исследователь,сущ,1
大学,だいがく,университет,сущ,1
病院,びょういん,больница,сущ,1
誰,だれ,кто,мест,1
何歳,なんさい,сколько лет,вопр,1
はい,はい,да,межд,1
いいえ,いいえ,нет,межд,1
これ,これ,это (у говорящего),мест,2
それ,それ,это; то (у собеседника),мест,2
あれ,あれ,то (далеко от обоих),мест,2
この,この,этот,мест,2
その,その,тот (у собеседника),мест,2
あの,あの,тот (далеко),мест,2
本,ほん,книга,сущ,2
辞書,じしょ,словарь,сущ,2
雑誌,ざっし,журнал,сущ,2
新聞,しんぶん,газета,сущ,2
ノート,ノート,тетрадь,сущ,2
手帳,てちょう,записная книжка,сущ,2
名刺,めいし,визитная карточка,сущ,2
カード,カード,карточка; карта,сущ,2
鉛筆,えんぴつ,карандаш,сущ,2
ボールペン,ボールペン,шариковая ручка,сущ,2
鍵,かぎ,ключ,сущ,2
時計,とけい,часы,сущ,2
傘,かさ,зонт,сущ,2
鞄,かばん,сумка; портфель,сущ,2
テレビ,テレビ,телевизор,сущ,2
カメラ,カメラ,фотоаппарат; камера,сущ,2
車,くるま,машина; автомобиль,сущ,2
机,つくえ,стол,сущ,2
椅子,いす,стул,сущ,2
チョコレート,チョコレート,шоколад,сущ,2
コーヒー,コーヒー,кофе,сущ,2
お土産,おみやげ,сувенир; гостинец,сущ,2
何,なん,что,вопр,2
ここ,ここ,здесь; это место,мест,3
そこ,そこ,там (у собеседника),мест,3
あそこ,あそこ,вон там (далеко),мест,3
どこ,どこ,где; куда,вопр,3
こちら,こちら,здесь; сюда (вежливо),мест,3
教室,きょうしつ,аудитория; класс,сущ,3
食堂,しょくどう,столовая,сущ,3
事務所,じむしょ,офис; контора,сущ,3
会議室,かいぎしつ,переговорная; зал заседаний,сущ,3
受付,うけつけ,приёмная; ресепшен,сущ,3
ロビー,ロビー,вестибюль; лобби,сущ,3
部屋,へや,комната,сущ,3
トイレ,トイレ,туалет,сущ,3
